Dport,DstAddr,TotBytes
18148,7,261.0
18373,9,160.0
18932,26,261.0
19162,9,160.0
19209,3,196.0
19406,9,160.0
19444,26,261.0
19669,26,169.0
20219,26,169.0
20417,9,160.0
20475,26,169.0
20932,7,261.0
21195,11,260.0
21197,26,261.0
21461,26,261.0
21721,26,261.0
21978,9,260.0
21985,11,260.0
22001,7,167.0
22217,5,196.0
22218,0,196.0
22220,7,261.0
22253,9,160.0
22481,7,261.0
22721,26,261.0
22722,9,260.0
23023,26,261.0
23238,11,260.0
23255,26,169.0
23489,9,160.0
23503,9,160.0
23507,9,260.0
23516,9,160.0
23770,26,261.0
24006,9,260.0
24262,7,167.0
24280,26,261.0
24285,11,260.0
24292,26,261.0
24554,26,261.0
24561,11,260.0
24770,11,260.0
24776,9,160.0
25554,26,261.0
26583,11,260.0
27000,9,1130.0
27001,9,260.0
27002,9,260.0
27003,9,260.0
27004,9,260.0
27005,9,260.0
27006,9,260.0
27007,9,260.0
27008,9,260.0
27009,9,260.0
27018,114,1816.4214559386974
27073,26,169.0
27083,9,160.0
27114,26,261.0
27361,26,261.0
27365,11,260.0
27587,11,260.0
27853,9,260.0
27871,9,160.0
28115,26,169.0
28358,9,160.0
28669,26,261.0
28877,26,261.0
29432,26,261.0
29691,7,261.0
30673,26,261.0
30714,26,169.0
30936,26,169.0
31432,9,160.0
31459,11,260.0
31462,7,261.0
31683,9,260.0
31700,9,260.0
31706,7,261.0
31713,9,260.0
31942,26,169.0
32234,26,261.0
32250,26,261.0
32715,9,160.0
32768,106,2749.3611111111113
32768,107,2799.123287671233
32770,106,2743.5
32770,107,2788.3835616438355
32772,106,2762.722222222222
32772,107,2794.6849315068494
32774,106,2737.0
32774,107,2799.6164383561645
32776,106,2749.25
32776,107,2793.205479452055
32778,106,2726.5555555555557
32778,107,2790.301369863014
32780,106,2744.777777777778
32780,107,2789.5890410958905
32782,106,2732.5
32782,107,2792.5479452054797
32784,106,2733.0555555555557
32784,107,2788.6027397260273
32786,106,2755.5833333333335
32786,107,2799.72602739726
32788,106,2757.0555555555557
32788,107,2803.72602739726
32790,106,2741.222222222222
32790,107,2801.3698630136987
32792,106,2745.472222222222
32792,107,2783.945205479452
32794,106,2749.222222222222
32794,107,2791.2876712328766
32796,106,2753.0
32796,107,2792.986301369863
32798,106,2765.5
32798,107,2794.301369863014
32800,106,2761.972222222222
32800,107,2789.3150684931506
32802,106,2741.6944444444443
32802,107,2783.178082191781
32804,106,2737.0833333333335
32804,107,2785.5890410958905
32806,106,2736.472222222222
32806,107,2777.3698630136987
32808,106,2738.3333333333335
32808,107,2792.109589041096
32810,106,2746.5
32810,107,2780.7123287671234
32812,106,2745.1944444444443
32812,107,2782.5753424657532
32814,106,2758.4166666666665
32814,107,2781.5890410958905
32816,106,2731.8333333333335
32816,107,2781.095890410959
32818,106,2746.3888888888887
32818,107,2772.054794520548
32820,106,2747.75
32820,107,2795.2876712328766
32822,106,2744.472222222222
32822,107,2799.72602739726
32824,106,2737.277777777778
32824,107,2779.5068493150684
32826,106,2743.777777777778
32826,107,2774.5753424657532
32828,106,2735.3888888888887
32828,107,2783.2328767123286
32830,106,2739.6111111111113
32830,107,2784.6575342465753
32832,106,2732.6666666666665
32832,107,2784.821917808219
32834,106,2730.3888888888887
32834,107,2769.5890410958905
32836,106,2735.5555555555557
32836,107,2788.109589041096
32838,106,2732.1111111111113
32838,107,2779.2328767123286
32840,106,2746.1111111111113
32840,107,2786.5205479452056
32842,106,2737.777777777778
32842,107,2763.2328767123286
32844,106,2731.5
32844,107,2779.671232876712
32846,106,2739.1666666666665
32846,107,2771.178082191781
32848,106,2743.777777777778
32848,107,2776.1643835616437
32850,106,2753.9444444444443
32850,107,2772.6027397260273
32852,106,2743.8333333333335
32852,107,2775.780821917808
32854,106,2747.1111111111113
32854,107,2775.123287671233
32856,106,2742.3333333333335
32856,107,2779.2876712328766
32858,106,2742.277777777778
32858,107,2785.4794520547944
32860,106,2751.8888888888887
32860,107,2783.3972602739727
32862,106,2747.8333333333335
32862,107,2791.095890410959
32864,106,2749.0555555555557
32864,107,2776.328767123288
32866,106,2737.222222222222
32866,107,2769.2602739726026
32868,106,2741.4444444444443
32868,107,2797.205479452055
32870,106,2735.8888888888887
32870,107,2785.753424657534
32872,106,2737.4444444444443
32872,107,2791.068493150685
32874,106,2735.0
32874,107,2780.7123287671234
32876,106,2751.972222222222
32876,107,2790.5205479452056
32877,107,124.0
32878,106,2739.1111111111113
32878,107,2764.7272727272725
32880,106,2738.3333333333335
32880,107,2786.246575342466
32882,106,2743.9444444444443
32882,107,2795.671232876712
32884,106,2750.8888888888887
32884,107,2779.4520547945203
32886,106,2744.722222222222
32886,107,2795.3424657534247
32888,106,2751.277777777778
32888,107,2784.328767123288
32890,106,2742.3888888888887
32890,107,2783.2328767123286
32892,106,2748.5555555555557
32892,107,2778.1369863013697
32894,106,2743.4444444444443
32894,107,2784.0
32896,106,2720.1666666666665
32896,107,2782.958904109589
32898,106,2724.6111111111113
32898,107,2788.3835616438355
32900,106,2731.8333333333335
32900,107,2790.082191780822
32902,106,2733.777777777778
32902,107,2797.150684931507
32904,106,2751.222222222222
32904,107,2792.5479452054797
32906,106,2750.8333333333335
32906,107,2786.4657534246576
32908,106,2746.4444444444443
32908,107,2780.821917808219
32910,106,2730.8333333333335
32910,107,2788.4383561643835
32912,106,2748.6111111111113
32912,107,2795.150684931507
32914,106,2747.777777777778
32914,107,2794.6849315068494
32916,106,2734.6111111111113
32916,107,2792.6575342465753
32918,106,2742.3333333333335
32918,107,2788.1643835616437
32920,106,2732.5
32920,107,2772.6027397260273
32922,106,2740.1111111111113
32922,107,2795.205479452055
32924,106,2731.5
32924,107,2783.4520547945203
32926,106,2746.1666666666665
32926,107,2797.150684931507
32928,106,2749.5555555555557
32928,107,2773.4794520547944
32930,106,2737.1111111111113
32930,107,2774.849315068493
32932,106,2737.1666666666665
32932,107,2787.3424657534247
32934,106,2742.3333333333335
32934,107,2793.095890410959
32936,106,2748.0
32936,107,2787.068493150685
32938,106,2755.75
32938,107,2783.2876712328766
32940,106,2739.3888888888887
32940,107,2783.3972602739727
32942,106,2745.9444444444443
32942,107,2778.5753424657532
32944,106,2741.3888888888887
32944,107,2789.8082191780823
32946,106,2750.1666666666665
32946,107,2782.5205479452056
32948,106,2741.722222222222
32948,107,2783.3424657534247
32950,106,2744.5555555555557
32950,107,2781.8082191780823
32952,106,2750.6111111111113
32952,107,2776.054794520548
32954,106,2750.9444444444443
32954,107,2789.3150684931506
32956,106,2745.9444444444443
32956,107,2792.821917808219
32958,106,2738.3333333333335
32958,107,2787.945205479452
32960,26,261.0
32960,106,2731.777777777778
32960,107,2778.7397260273974
32962,106,2754.1666666666665
32962,107,2780.7671232876714
32963,9,160.0
32964,106,2743.0
32964,107,2777.205479452055
32966,106,2731.3888888888887
32966,107,2782.027397260274
32967,106,124.0
32968,106,2707.7163120567375
32968,107,2780.6027397260273
32970,106,2713.158620689655
32970,107,2793.8630136986303
32972,106,2724.979020979021
32972,107,2788.1643835616437
32974,106,2724.979020979021
32974,107,2780.986301369863
32976,106,2729.902097902098
32976,107,2786.4657534246576
32978,106,2728.2237762237764
32978,107,2780.219178082192
32980,106,2724.5314685314684
32980,107,2789.041095890411
32982,106,2717.762237762238
32982,107,2783.365517241379
32984,106,2717.5384615384614
32984,107,2789.4520547945203
32986,106,2716.4195804195806
32986,107,2775.095890410959
32988,106,2711.944055944056
32988,107,2774.1369863013697
32990,106,2721.4825174825173
32990,107,2785.123287671233
32992,106,2723.4685314685316
32992,107,2787.013698630137
32994,106,2722.7972027972028
32994,107,2792.958904109589
32996,106,2734.713286713287
32996,107,2785.3150684931506
32998,106,2723.7482517482517
32998,107,2791.3698630136987
33000,106,2711.7762237762236
33000,107,2788.5753424657532
33002,106,2722.237762237762
33002,107,2780.794520547945
33004,106,2727.076923076923
33004,107,2786.219178082192
33006,106,2734.153846153846
33006,107,2790.0
33008,106,2711.328671328671
33008,107,2776.1643835616437
33010,106,2720.8391608391607
33010,107,2773.4794520547944
33012,106,2724.6433566433566
33012,107,2778.958904109589
33014,106,2739.4405594405594
33014,107,2764.4383561643835
33016,106,2740.7832167832166
33016,107,2775.5068493150684
33018,106,2738.6293706293704
33018,107,2800.3561643835615
33020,106,2718.2097902097903
33020,107,2778.301369863014
33022,106,2717.090909090909
33022,107,2773.3424657534247
33024,106,2725.3706293706296
33024,107,2788.4109589041095
33026,106,2737.6503496503497
33026,107,2776.876712328767
33027,107,124.0
33028,106,2735.5244755244757
33028,107,2781.146853146853
33030,106,2727.104895104895
33030,107,2796.5205479452056
33032,106,2726.013986013986
33032,107,2788.082191780822
33034,106,2732.867132867133
33034,107,2782.1369863013697
33036,106,2723.4125874125875
33036,107,2798.4931506849316
33038,106,2730.573426573427
33038,107,2791.2876712328766
33040,106,2745.5384615384614
33040,107,2802.3835616438355
33042,106,2728.1678321678323
33042,107,2792.301369863014
33044,106,2724.6433566433566
33044,107,2808.1369863013697
33046,106,2737.426573426573
33046,107,2824.3537414965986
33048,106,2729.5104895104896
33048,107,2817.3333333333335
33050,106,2730.573426573427
33050,107,2818.6666666666665
33052,106,2731.7482517482517
33052,107,2795.8630136986303
33054,106,2728.083916083916
33054,107,2788.328767123288
33056,106,2717.762237762238
33056,107,2780.876712328767
33058,106,2720.3916083916083
33058,107,2801.8356164383563
33060,106,2726.713286713287
33060,107,2792.7397260273974
33062,106,2718.713286713287
33062,107,2823.5374149659865
33064,106,2726.4615384615386
33064,107,2815.591836734694
33066,106,2732.4195804195806
33066,107,2799.5890410958905
33068,106,2722.937062937063
33068,107,2797.178082191781
33070,106,2723.3566433566434
33070,107,2804.108843537415
33072,106,2706.7972027972028
33072,107,2792.5205479452056
33074,106,2726.4335664335663
33074,107,2810.612244897959
33076,106,2731.6363636363635
33076,107,2783.2602739726026
33078,106,2729.230769230769
33078,107,2817.605442176871
33080,106,2733.034965034965
33080,107,2811.4285714285716
33082,106,2727.4965034965035
33082,107,2819.1292517006805
33084,106,2727.2727272727275
33084,107,2783.671232876712
33086,106,2729.1748251748254
33086,107,2815.9455782312925
33088,106,2726.097902097902
33088,107,2819.401360544218
33090,106,2731.5244755244757
33090,107,2806.2312925170068
33092,106,2729.6783216783215
33092,107,2802.013605442177
33094,106,2729.286713286713
33094,107,2791.3972602739727
33096,106,2722.237762237762
33096,107,2808.598639455782
33098,106,2716.5874125874125
33098,107,2801.08843537415
33100,106,2725.5664335664337
33100,107,2806.4761904761904
33102,106,2725.1188811188813
33102,107,2802.6666666666665
33104,106,2724.027972027972
33104,107,2809.6326530612246
33106,106,2731.664335664336
33106,107,2809.578231292517
33108,106,2722.5174825174827
33108,107,2782.301369863014
33110,106,2730.573426573427
33110,107,2787.3972602739727
33112,106,2715.132867132867
33112,107,2814.9659863945576
33114,106,2718.993006993007
33114,107,2796.219178082192
33116,106,2737.2027972027972
33116,107,2817.8503401360545
33118,106,2732.1678321678323
33118,107,2810.6666666666665
33120,106,2718.3216783216785
33120,107,2796.5714285714284
33122,106,2732.5314685314684
33122,107,2807.6190476190477
33124,106,2719.5804195804194
33124,107,2815.1292517006805
33126,106,2730.909090909091
33126,107,2806.0408163265306
33128,106,2734.5454545454545
33128,107,2801.578231292517
33130,106,2723.6923076923076
33130,107,2815.6190476190477
33132,106,2718.3216783216785
33132,107,2797.8231292517007
33134,106,2743.2167832167834
33134,107,2797.5510204081634
33136,106,2728.3916083916083
33136,107,2796.3537414965986
33138,106,2739.86013986014
33138,107,2795.2108843537417
33140,106,2733.818181818182
33140,107,2772.810810810811
33142,106,2718.2097902097903
33142,107,2797.278911564626
33144,106,2721.006993006993
33144,107,2799.5646258503402
33146,106,2714.6853146853146
33146,107,2796.6530612244896
33148,106,2728.671328671329
33148,107,2799.292517006803
33150,106,2743.3006993006993
33150,107,2795.156462585034
33152,106,2722.5174825174827
33152,107,2797.2244897959185
33154,106,2725.5944055944055
33154,107,2800.2721088435374
33156,106,2741.062937062937
33156,107,2800.0
33158,106,2722.909090909091
33158,107,2794.394557823129
33160,106,2721.230769230769
33160,107,2803.6462585034014
33162,106,2725.426573426573
33162,107,2788.2448979591836
33164,106,2731.6923076923076
33164,107,2795.591836734694
33166,106,2732.979020979021
33166,107,2769.189189189189
33168,106,2739.2727272727275
33168,107,2811.809523809524
33170,106,2718.4335664335663
33170,107,2800.326530612245
33172,106,2723.188811188811
33172,107,2787.4324324324325
33174,106,2721.846153846154
33174,107,2783.7837837837837
33176,106,2740.755244755245
33176,107,2777.4594594594596
33178,106,2730.853146853147
33178,107,2807.074829931973
33180,106,2728.671328671329
33180,107,2821.3333333333335
33182,106,2719.1608391608393
33182,107,2817.360544217687
33184,106,2720.5034965034965
33184,107,2818.503401360544
33186,106,2732.195804195804
33186,107,2811.3197278911566
33188,106,2721.958041958042
33188,107,2786.3783783783783
33190,106,2714.237762237762
33190,107,2804.1360544217687
33192,106,2722.853146853147
33192,107,2814.8571428571427
33194,106,2716.2517482517483
33194,107,2789.0810810810813
33196,106,2724.4195804195806
33196,107,2814.2585034013605
33198,106,2714.853146853147
33198,107,2780.2702702702704
33200,106,2731.2167832167834
33200,107,2796.8979591836733
33202,106,2721.7902097902097
33202,107,2777.2432432432433
33204,106,2708.4755244755243
33204,107,2780.3783783783783
33206,106,2716.13986013986
33206,107,2807.700680272109
33208,106,2722.7412587412587
33208,107,2790.6938775510203
33210,106,2719.6083916083917
33210,107,2803.918367346939
33212,106,2731.020979020979
33212,107,2798.3673469387754
33214,106,2713.7342657342656
33214,107,2797.496598639456
33216,106,2724.923076923077
33216,107,2775.027027027027
33218,106,2725.426573426573
33218,107,2786.7567567567567
33220,106,2722.013986013986
33220,107,2777.3513513513512
33222,106,2716.867132867133
33222,107,2803.5646258503402
33224,106,2714.6293706293704
33224,107,2797.0068027210887
33226,106,2723.3566433566434
33226,107,2802.394557823129
33228,106,2719.2167832167834
33228,107,2811.1020408163267
33230,106,2726.3216783216785
33230,107,2817.6326530612246
33232,106,2719.2727272727275
33232,107,2800.7619047619046
33234,106,2738.181818181818
33234,107,2796.9523809523807
33236,106,2731.4125874125875
33236,107,2769.135135135135
33238,106,2707.972027972028
33238,107,2800.21768707483
33240,106,2728.2237762237764
33240,107,2809.3061224489797
33242,106,2719.72027972028
33242,107,2787.135135135135
33244,106,2722.237762237762
33244,107,2790.3783783783783
33245,7,261.0
33246,106,2714.4615384615386
33246,107,2788.162162162162
33248,106,2709.818181818182
33248,107,2789.135135135135
33250,106,2705.1188811188813
33250,107,2781.7837837837837
33252,106,2714.4055944055945
33252,107,2793.891891891892
33254,106,2715.804195804196
33254,107,2801.5342465753424
33256,106,2715.076923076923
33256,107,2798.5205479452056
33258,106,2716.3636363636365
33258,107,2801.4246575342468
33260,106,2721.958041958042
33260,107,2772.054794520548
33262,106,2719.4405594405594
33262,107,2784.109589041096
33264,106,2710.8811188811187
33264,107,2781.4246575342468
33266,106,2714.6853146853146
33266,107,2788.4383561643835
33267,9,160.0
33268,106,2724.4755244755243
33268,107,2769.972602739726
33270,106,2722.2937062937062
33270,107,2775.3972602739727
33272,106,2723.132867132867
33272,107,2790.6301369863013
33274,106,2707.804195804196
33274,107,2782.301369863014
33276,106,2706.4055944055945
33276,107,2775.178082191781
33278,106,2709.2587412587413
33278,107,2781.041095890411
33280,106,2721.5104895104896
33280,107,2782.904109589041
33282,106,2709.090909090909
33282,107,2787.013698630137
33284,106,2714.4615384615386
33284,107,2779.890410958904
33286,106,2728.671328671329
33286,107,2782.246575342466
33288,106,2713.622377622378
33288,107,2778.794520547945
33290,106,2716.13986013986
33290,107,2770.3561643835615
33292,106,2715.4685314685316
33292,107,2779.178082191781
33294,106,2727.944055944056
33294,107,2772.054794520548
33296,106,2724.3636363636365
33296,107,2769.753424657534
33298,106,2725.2587412587413
33298,107,2779.013698630137
33300,106,2720.27972027972
33300,107,2772.5479452054797
33302,106,2716.5874125874125
33302,107,2777.4246575342468
33304,106,2713.3426573426573
33304,107,2789.698630136986
33306,106,2713.902097902098
33306,107,2779.068493150685
33308,106,2715.188811188811
33308,107,2787.72602739726
33310,106,2710.937062937063
33310,107,2789.205479452055
33312,106,2733.986013986014
33312,107,2784.219178082192
33314,106,2725.818181818182
33314,107,2782.6849315068494
33316,106,2726.4615384615386
33316,107,2792.3835616438355
33318,106,2727.2167832167834
33318,107,2792.821917808219
33320,106,2730.0699300699303
33320,107,2806.3561643835615
33322,106,2719.888111888112
33322,107,2788.219178082192
33324,106,2712.111888111888
33324,107,2787.890410958904
33326,106,2719.048951048951
33326,107,2800.986301369863
33327,6,80782.16111111111
33328,106,2725.818181818182
33328,107,2789.5890410958905
33330,106,2718.713286713287
33330,107,2793.2602739726026
33332,106,2729.006993006993
33332,107,2785.8630136986303
33334,106,2720.335664335664
33334,107,2794.7397260273974
33336,106,2728.7272727272725
33336,107,2798.3561643835615
33338,106,2722.2937062937062
33338,107,2790.904109589041
33340,106,2718.769230769231
33340,107,2798.958904109589
33342,106,2706.181818181818
33342,107,2788.109589041096
33344,106,2719.2727272727275
33344,107,2791.671232876712
33346,106,2708.6993006993007
33346,107,2786.4657534246576
33348,106,2708.5874125874125
33348,107,2784.0
33350,106,2727.1608391608393
33350,107,2780.5479452054797
33352,106,2717.986013986014
33352,107,2784.876712328767
33354,106,2720.5594405594406
33354,107,2790.082191780822
33356,106,2729.062937062937
33356,107,2787.4520547945203
33358,106,2712.0
33358,107,2785.3150684931506
33360,106,2717.762237762238
33360,107,2800.1643835616437
33362,106,2717.762237762238
33362,107,2787.945205479452
33364,106,2719.888111888112
33364,107,2781.4246575342468
33366,106,2729.7342657342656
33366,107,2779.945205479452
33368,106,2729.1188811188813
33368,107,2782.5205479452056
33370,106,2749.9444444444443
33370,107,2787.013698630137
33372,106,2731.3566433566434
33372,107,2788.0
33374,106,2733.3146853146854
33374,107,2787.2876712328766
33376,106,2724.13986013986
33376,107,2782.301369863014
33378,106,2718.769230769231
33378,107,2798.849315068493
33380,106,2718.2097902097903
33380,107,2780.219178082192
33382,106,2729.1666666666665
33382,107,2790.794520547945
33384,106,2744.4444444444443
33384,107,2784.219178082192
33386,106,2718.2657342657344
33386,107,2785.095890410959
33388,106,2721.5104895104896
33388,107,2773.917808219178
33390,106,2737.222222222222
33390,107,2784.5479452054797
33392,106,2724.811188811189
33392,107,2782.301369863014
33394,106,2725.6111111111113
33394,107,2801.178082191781
33396,106,2741.0555555555557
33396,107,2794.6301369863013
33398,106,2722.181818181818
33398,107,2796.821917808219
33400,106,2723.6923076923076
33400,107,2790.6301369863013
33402,106,2736.8888888888887
33402,107,2789.013698630137
33404,106,2752.6111111111113
33404,107,2811.6438356164385
33406,106,2713.7342657342656
33406,107,2790.246575342466
33408,106,2715.244755244755
33408,107,2796.7397260273974
33410,106,2748.5555555555557
33410,107,2779.6438356164385
33412,106,2715.244755244755
33412,107,2777.6164383561645
33414,106,2729.1748251748254
33414,107,2778.6301369863013
33416,106,2744.777777777778
33416,107,2787.178082191781
33418,106,2747.9444444444443
33418,107,2785.6438356164385
33420,106,2719.664335664336
33420,107,2795.753424657534
33422,106,2744.0555555555557
33422,107,2790.0
33424,106,2735.5
33424,107,2787.671232876712
33426,106,2734.9444444444443
33426,107,2795.095890410959
33428,106,2720.6153846153848
33428,107,2789.3150684931506
33430,106,2752.3888888888887
33430,107,2781.3698630136987
33432,106,2743.2167832167834
33432,107,2785.945205479452
33434,106,2733.6503496503497
33434,107,2786.082191780822
33436,106,2762.6666666666665
33436,107,2787.4794520547944
33438,106,2733.7062937062938
33438,107,2769.8082191780823
33440,106,2724.4195804195806
33440,107,2780.821917808219
33442,106,2720.6153846153848
33442,107,2803.013698630137
33444,106,2720.951048951049
33444,107,2786.6575342465753
33446,106,2723.972027972028
33446,107,2791.698630136986
33448,106,2731.6923076923076
33448,107,2788.301369863014
33450,106,2747.1666666666665
33450,107,2785.4794520547944
33452,106,2736.0555555555557
33452,107,2790.4931506849316
33454,106,2762.5
33454,107,2792.082191780822
33456,106,2760.6666666666665
33456,107,2796.7671232876714
33458,106,2736.222222222222
33458,107,2800.7671232876714
33460,106,2724.5874125874125
33460,107,2793.013698630137
33462,106,2732.195804195804
33462,107,2793.5068493150684
33464,106,2754.3333333333335
33464,107,2800.849315068493
33466,106,2749.1666666666665
33466,107,2793.3698630136987
33468,106,2739.0
33468,107,2789.5068493150684
33470,106,2739.222222222222
33470,107,2809.945205479452
33472,106,2748.0555555555557
33472,107,2784.0
33474,106,2741.8333333333335
33474,107,2783.178082191781
33476,106,2738.3333333333335
33476,107,2799.3698630136987
33478,106,2749.722222222222
33478,107,2778.794520547945
33480,106,2737.277777777778
33480,107,2782.054794520548
33482,106,2735.4444444444443
33482,107,2779.5068493150684
33484,106,2737.1666666666665
33484,107,2798.7397260273974
33486,106,2740.0555555555557
33486,107,2786.986301369863
33488,106,2733.8888888888887
33488,107,2774.4657534246576
33490,106,2740.722222222222
33490,107,2794.5479452054797
33492,106,2741.8333333333335
33492,107,2781.8630136986303
33494,106,2745.6666666666665
33494,107,2786.6575342465753
33496,106,2742.6111111111113
33496,107,2776.986301369863
33498,106,2741.5
33498,107,2788.7397260273974
33500,106,2749.4444444444443
33500,107,2795.972602739726
33502,106,2747.777777777778
33502,107,2790.6575342465753
33504,106,2753.777777777778
33504,107,2804.4109589041095
33506,106,2756.1111111111113
33506,107,2785.5342465753424
33508,106,2751.8333333333335
33508,107,2798.7671232876714
33510,106,2748.777777777778
33510,107,2792.849315068493
33512,106,2744.0555555555557
33512,107,2779.4520547945203
33514,106,2757.0555555555557
33514,107,2781.041095890411
33516,106,2751.1111111111113
33516,107,2779.2328767123286
33518,106,2755.1666666666665
33518,107,2784.328767123288
33520,106,2745.4444444444443
33520,107,2799.2876712328766
33522,106,2735.9444444444443
33522,107,2799.4520547945203
33524,106,2760.222222222222
33524,107,2786.5205479452056
33526,26,261.0
33526,106,2741.8888888888887
33526,107,2786.794520547945
33528,106,2759.3888888888887
33528,107,2789.5342465753424
33530,106,2748.0555555555557
33530,107,2794.082191780822
33532,106,2745.6666666666665
33532,107,2789.2602739726026
33534,106,2739.5555555555557
33534,107,2787.8356164383563
33536,106,2754.1111111111113
33536,107,2779.780821917808
33538,106,2744.6111111111113
33538,107,2786.4109589041095
33540,106,2741.1666666666665
33540,107,2789.041095890411
33542,106,2751.6111111111113
33542,107,2758.9517241379313
33544,106,2758.6666666666665
33544,107,2781.2413793103447
33546,106,2755.6666666666665
33546,107,2762.9241379310347
33548,106,2750.222222222222
33548,107,2763.862068965517
33550,106,2743.222222222222
33550,107,2773.848275862069
33552,106,2750.5
33552,107,2773.2965517241378
33554,106,2749.0555555555557
33554,107,2759.062068965517
33556,106,2738.4444444444443
33556,107,2762.041379310345
33558,106,2748.777777777778
33558,107,2746.096551724138
33560,106,2739.3888888888887
33560,107,2758.731034482759
33562,106,2750.5555555555557
33562,107,2760.6620689655174
33564,106,2743.3333333333335
33564,107,2761.4344827586206
33566,106,2737.4444444444443
33566,107,2762.979310344828
